month,refunds
01/04/2024,10287311.3
01/03/2024,17274184.4
01/02/2024,16046430.2
01/01/2024,17014041.7
01/12/2023,16289012.6
01/11/2023,16235110.4
01/10/2023,14992922.6
01/09/2023,14768056.4
01/08/2023,18172446.1
01/07/2023,22206096.3
01/06/2023,19255906.4
01/05/2023,18679718.9
01/04/2023,14275791.9
01/03/2023,13171807.5
01/02/2023,10277385.5
01/01/2023,11237716.1
01/12/2022,11864314.9
01/11/2022,10782296.3
01/10/2022,10510857.3
01/09/2022,10724355.6
01/08/2022,12433933.2
01/07/2022,11132988.9
01/06/2022,10991308.1
01/05/2022,10369709.9
01/04/2022,10203519.9
01/03/2022,10679453.9
01/02/2022,10910347
01/01/2022,13889704.5
01/12/2021,14442343.7
01/11/2021,12593156.9
01/10/2021,14184082.6
01/09/2021,17532706.1
01/08/2021,23824860.7
01/07/2021,28292727.6
01/06/2021,30296051.4
01/05/2021,31478884.4
01/04/2021,32076147.7
01/03/2021,40697767.5
01/02/2021,31274906.8
01/01/2021,36917618.6
